subject,X_dim,Y_dim,Z_dim,dx,dy,dz,has_nan,nan_percent,pix_mean_val,pix_min_val,pix_man_val,CMB_npix,data_type,orientation,filename,full_path
1.3.12.2.1107.5.2.6.24111.30000019082104124198400000043,251.0,336.0,260.0,0.5,0.5,0.5,0.0,0.0,91.66163569232792,0.0,401.9999999064021,,int16,"('R', 'A', 'S')",1.3.12.2.1107.5.2.6.24111.30000019082104124198400000043.nii.gz,/home/cerebriu/data/datasets/processed/cerebriu_high/Data/1.3.12.2.1107.5.2.6.24111.30000019082104124198400000043/MRIs/1.3.12.2.1107.5.2.6.24111.30000019082104124198400000043.nii.gz
1.3.12.2.1107.5.2.6.24111.30000019082104124198400000043,251.0,336.0,260.0,0.5,0.5,0.5,0.0,0.0,3.703136173255695e-05,0.0,1.0,812.0,int16,"('R', 'A', 'S')",1.3.12.2.1107.5.2.6.24111.30000019082104124198400000043.nii.gz,/home/cerebriu/data/datasets/processed/cerebriu_high/Data/1.3.12.2.1107.5.2.6.24111.30000019082104124198400000043/Annotations/1.3.12.2.1107.5.2.6.24111.30000019082104124198400000043.nii.gz
1.2.826.1.3680043.9.5282.150415.34194.3419422232714,284.0,319.0,325.0,0.5,0.5,0.5,0.0,0.0,71.6047939459812,0.0,399.99999990686774,,int16,"('R', 'A', 'S')",1.2.826.1.3680043.9.5282.150415.34194.3419422232714.nii.gz,/home/cerebriu/data/datasets/processed/cerebriu_high/Data/1.2.826.1.3680043.9.5282.150415.34194.3419422232714/MRIs/1.2.826.1.3680043.9.5282.150415.34194.3419422232714.nii.gz
1.2.826.1.3680043.9.5282.150415.34194.3419422232714,284.0,319.0,325.0,0.5,0.5,0.5,0.0,0.0,9.665904760610929e-05,0.0,1.0,2846.0,int16,"('R', 'A', 'S')",1.2.826.1.3680043.9.5282.150415.34194.3419422232714.nii.gz,/home/cerebriu/data/datasets/processed/cerebriu_high/Data/1.2.826.1.3680043.9.5282.150415.34194.3419422232714/Annotations/1.2.826.1.3680043.9.5282.150415.34194.3419422232714.nii.gz
1.2.826.1.3680043.9.5282.150415.14832.16014832222376,270.0,329.0,294.0,0.5,0.5,0.5,0.0,0.0,198.9877424085844,0.0,1056.9999844953418,,int16,"('R', 'A', 'S')",1.2.826.1.3680043.9.5282.150415.14832.16014832222376.nii.gz,/home/cerebriu/data/datasets/processed/cerebriu_high/Data/1.2.826.1.3680043.9.5282.150415.14832.16014832222376/MRIs/1.2.826.1.3680043.9.5282.150415.14832.16014832222376.nii.gz
1.2.826.1.3680043.9.5282.150415.14832.16014832222376,270.0,329.0,294.0,0.5,0.5,0.5,0.0,0.0,9.17061634965818e-05,0.0,1.0,2395.0,int16,"('R', 'A', 'S')",1.2.826.1.3680043.9.5282.150415.14832.16014832222376.nii.gz,/home/cerebriu/data/datasets/processed/cerebriu_high/Data/1.2.826.1.3680043.9.5282.150415.14832.16014832222376/Annotations/1.2.826.1.3680043.9.5282.150415.14832.16014832222376.nii.gz
1.2.826.1.3680043.9.5282.150415.650.650232327158,296.0,339.0,303.0,0.5,0.5,0.5,0.0,0.0,89.98672459052091,0.0,449.9999998952262,,int16,"('R', 'A', 'S')",1.2.826.1.3680043.9.5282.150415.650.650232327158.nii.gz,/home/cerebriu/data/datasets/processed/cerebriu_high/Data/1.2.826.1.3680043.9.5282.150415.650.650232327158/MRIs/1.2.826.1.3680043.9.5282.150415.650.650232327158.nii.gz
1.2.826.1.3680043.9.5282.150415.650.650232327158,296.0,339.0,303.0,0.5,0.5,0.5,0.0,0.0,4.4368823392743486e-05,0.0,1.0,1349.0,int16,"('R', 'A', 'S')",1.2.826.1.3680043.9.5282.150415.650.650232327158.nii.gz,/home/cerebriu/data/datasets/processed/cerebriu_high/Data/1.2.826.1.3680043.9.5282.150415.650.650232327158/Annotations/1.2.826.1.3680043.9.5282.150415.650.650232327158.nii.gz
1.3.12.2.1107.5.2.6.24111.30000019082703511493700000040,311.0,372.0,259.0,0.5,0.5,0.5,0.0,0.0,84.0394643419027,0.0,383.0000151693821,,int16,"('R', 'A', 'S')",1.3.12.2.1107.5.2.6.24111.30000019082703511493700000040.nii.gz,/home/cerebriu/data/datasets/processed/cerebriu_high/Data/1.3.12.2.1107.5.2.6.24111.30000019082703511493700000040/MRIs/1.3.12.2.1107.5.2.6.24111.30000019082703511493700000040.nii.gz
1.3.12.2.1107.5.2.6.24111.30000019082703511493700000040,311.0,372.0,259.0,0.5,0.5,0.5,0.0,0.0,3.1103754783870953e-05,0.0,1.0,932.0,int16,"('R', 'A', 'S')",1.3.12.2.1107.5.2.6.24111.30000019082703511493700000040.nii.gz,/home/cerebriu/data/datasets/processed/cerebriu_high/Data/1.3.12.2.1107.5.2.6.24111.30000019082703511493700000040/Annotations/1.3.12.2.1107.5.2.6.24111.30000019082703511493700000040.nii.gz
1.2.840.113845.13.13849.872975378.634767293118,332.0,408.0,355.0,0.5,0.5,0.5,0.0,0.0,48.523481220791865,0.0,539.9999998742715,,int16,"('R', 'A', 'S')",1.2.840.113845.13.13849.872975378.634767293118.nii.gz,/home/cerebriu/data/datasets/processed/cerebriu_high/Data/1.2.840.113845.13.13849.872975378.634767293118/MRIs/1.2.840.113845.13.13849.872975378.634767293118.nii.gz
1.2.840.113845.13.13849.872975378.634767293118,332.0,408.0,355.0,0.5,0.5,0.5,0.0,0.0,4.62912129046426e-05,0.0,1.0,2226.0,int16,"('R', 'A', 'S')",1.2.840.113845.13.13849.872975378.634767293118.nii.gz,/home/cerebriu/data/datasets/processed/cerebriu_high/Data/1.2.840.113845.13.13849.872975378.634767293118/Annotations/1.2.840.113845.13.13849.872975378.634767293118.nii.gz
1.2.840.113845.13.14537.872975378.3343495815236,329.0,408.0,315.0,0.5,0.5,0.5,0.0,0.0,44.20194796682856,0.0,429.0000151586719,,int16,"('R', 'A', 'S')",1.2.840.113845.13.14537.872975378.3343495815236.nii.gz,/home/cerebriu/data/datasets/processed/cerebriu_high/Data/1.2.840.113845.13.14537.872975378.3343495815236/MRIs/1.2.840.113845.13.14537.872975378.3343495815236.nii.gz
