subject,id,Dataset,CM,size,radius
sub-301,0,pVALDO,"[112, 226, 229]",74.0,2.6
sub-307,0,pVALDO,"[178, 212, 138]",96.0,2.84
sub-223,0,pVALDO,"[144, 156, 45]",34.0,2.01
sub-213,0,pVALDO,"[228, 104, 131]",11.0,1.38
sub-102,0,pVALDO,"[108, 214, 159]",429.0,4.68
sub-324,0,pVALDO,"[67, 66, 87]",241.0,3.86
sub-304,0,pVALDO,"[84, 165, 156]",224.0,3.77
sub-110,0,pVALDO,"[51, 125, 101]",56.0,2.37
sub-110,1,pVALDO,"[80, 64, 207]",63.0,2.47
sub-110,2,pVALDO,"[88, 52, 173]",68.0,2.53
sub-110,3,pVALDO,"[90, 63, 167]",87.0,2.75
sub-110,4,pVALDO,"[94, 197, 168]",85.0,2.73
sub-110,5,pVALDO,"[100, 77, 226]",99.0,2.87
sub-110,6,pVALDO,"[100, 103, 253]",63.0,2.47
sub-110,7,pVALDO,"[139, 60, 176]",170.0,3.44
sub-110,8,pVALDO,"[146, 77, 203]",81.0,2.68
sub-110,9,pVALDO,"[148, 121, 241]",86.0,2.74
sub-110,10,pVALDO,"[149, 102, 254]",84.0,2.72
sub-110,11,pVALDO,"[151, 93, 229]",52.0,2.32
sub-110,12,pVALDO,"[152, 64, 225]",67.0,2.52
sub-110,13,pVALDO,"[152, 100, 214]",66.0,2.51
sub-110,14,pVALDO,"[158, 80, 209]",320.0,4.24
sub-110,15,pVALDO,"[157, 112, 224]",40.0,2.12
sub-110,16,pVALDO,"[158, 63, 226]",92.0,2.8
sub-110,17,pVALDO,"[161, 88, 251]",277.0,4.04
sub-110,18,pVALDO,"[159, 95, 246]",95.0,2.83
sub-110,19,pVALDO,"[159, 138, 203]",82.0,2.7
sub-110,20,pVALDO,"[160, 70, 122]",101.0,2.89
sub-110,21,pVALDO,"[160, 84, 212]",91.0,2.79
sub-110,22,pVALDO,"[160, 96, 230]",49.0,2.27
sub-110,23,pVALDO,"[159, 116, 265]",71.0,2.57
sub-110,24,pVALDO,"[162, 56, 160]",185.0,3.53
sub-110,25,pVALDO,"[160, 58, 177]",72.0,2.58
sub-110,26,pVALDO,"[161, 57, 225]",90.0,2.78
sub-110,27,pVALDO,"[164, 75, 203]",801.0,5.76
sub-110,28,pVALDO,"[162, 119, 241]",61.0,2.44
sub-110,29,pVALDO,"[162, 124, 242]",53.0,2.33
sub-110,30,pVALDO,"[163, 91, 262]",57.0,2.39
sub-110,31,pVALDO,"[164, 71, 219]",109.0,2.96
sub-110,32,pVALDO,"[167, 121, 268]",346.0,4.36
sub-110,33,pVALDO,"[168, 69, 235]",177.0,3.48
sub-110,34,pVALDO,"[167, 302, 200]",59.0,2.42
sub-110,35,pVALDO,"[168, 80, 252]",62.0,2.46
sub-110,36,pVALDO,"[167, 88, 261]",41.0,2.14
sub-110,37,pVALDO,"[169, 53, 217]",155.0,3.33
sub-110,38,pVALDO,"[169, 134, 195]",87.0,2.75
sub-110,39,pVALDO,"[171, 63, 202]",54.0,2.34
sub-110,40,pVALDO,"[171, 47, 184]",76.0,2.63
sub-110,41,pVALDO,"[171, 85, 261]",48.0,2.25
sub-110,42,pVALDO,"[172, 86, 247]",12.0,1.42
sub-110,43,pVALDO,"[172, 87, 243]",6.0,1.13
sub-110,44,pVALDO,"[175, 57, 193]",142.0,3.24
sub-110,45,pVALDO,"[176, 68, 187]",133.0,3.17
sub-110,46,pVALDO,"[178, 52, 205]",334.0,4.3
sub-110,47,pVALDO,"[177, 62, 194]",87.0,2.75
sub-110,48,pVALDO,"[178, 45, 184]",42.0,2.16
sub-110,49,pVALDO,"[180, 81, 245]",184.0,3.53
sub-110,50,pVALDO,"[179, 93, 244]",352.0,4.38
sub-110,51,pVALDO,"[181, 87, 246]",65.0,2.49
sub-110,52,pVALDO,"[183, 61, 183]",320.0,4.24
sub-110,53,pVALDO,"[183, 86, 101]",74.0,2.6
sub-110,54,pVALDO,"[184, 63, 202]",71.0,2.57
sub-110,55,pVALDO,"[185, 50, 177]",84.0,2.72
sub-110,56,pVALDO,"[186, 55, 210]",81.0,2.68
sub-110,57,pVALDO,"[187, 72, 220]",58.0,2.4
sub-110,58,pVALDO,"[189, 60, 210]",153.0,3.32
sub-110,59,pVALDO,"[193, 48, 185]",96.0,2.84
sub-110,60,pVALDO,"[193, 70, 163]",52.0,2.32
sub-110,61,pVALDO,"[195, 70, 218]",168.0,3.42
sub-110,62,pVALDO,"[197, 64, 211]",88.0,2.76
sub-110,63,pVALDO,"[197, 77, 221]",72.0,2.58
sub-110,64,pVALDO,"[197, 125, 187]",57.0,2.39
sub-110,65,pVALDO,"[200, 57, 186]",65.0,2.49
sub-110,66,pVALDO,"[209, 80, 218]",1020.0,6.24
sub-110,67,pVALDO,"[205, 66, 203]",71.0,2.57
sub-110,68,pVALDO,"[207, 86, 222]",56.0,2.37
sub-110,69,pVALDO,"[215, 68, 212]",375.0,4.47
sub-110,70,pVALDO,"[215, 99, 216]",187.0,3.55
sub-110,71,pVALDO,"[216, 64, 191]",373.0,4.47
sub-110,72,pVALDO,"[217, 87, 227]",278.0,4.05
sub-110,73,pVALDO,"[217, 93, 191]",52.0,2.32
sub-110,74,pVALDO,"[217, 114, 218]",65.0,2.49
sub-110,75,pVALDO,"[218, 78, 214]",92.0,2.8
sub-110,76,pVALDO,"[221, 68, 196]",240.0,3.86
sub-110,77,pVALDO,"[221, 83, 214]",138.0,3.21
sub-110,78,pVALDO,"[223, 96, 216]",72.0,2.58
sub-110,79,pVALDO,"[224, 98, 225]",73.0,2.59
sub-110,80,pVALDO,"[225, 96, 176]",72.0,2.58
sub-110,81,pVALDO,"[230, 79, 206]",214.0,3.71
sub-110,82,pVALDO,"[230, 134, 108]",123.0,3.09
sub-325,0,pVALDO,"[45, 153, 202]",159.0,3.36
sub-325,1,pVALDO,"[92, 278, 232]",925.0,6.04
sub-325,2,pVALDO,"[188, 296, 203]",126.0,3.11
sub-311,0,pVALDO,"[208, 225, 103]",695.0,5.49
sub-309,0,pVALDO,"[77, 265, 109]",145.0,3.26
sub-218,0,pVALDO,"[14, 110, 141]",94.0,2.82
sub-218,1,pVALDO,"[21, 155, 186]",71.0,2.57
sub-218,2,pVALDO,"[38, 92, 210]",57.0,2.39
sub-218,3,pVALDO,"[41, 120, 90]",50.0,2.29
sub-218,4,pVALDO,"[46, 235, 182]",42.0,2.16
sub-218,5,pVALDO,"[50, 93, 148]",35.0,2.03
sub-218,6,pVALDO,"[58, 64, 122]",80.0,2.67
sub-218,7,pVALDO,"[64, 71, 213]",30.0,1.93
sub-218,8,pVALDO,"[72, 268, 148]",46.0,2.22
sub-218,9,pVALDO,"[79, 108, 204]",92.0,2.8
sub-218,10,pVALDO,"[91, 166, 157]",56.0,2.37
sub-218,11,pVALDO,"[101, 246, 234]",46.0,2.22
sub-218,12,pVALDO,"[107, 77, 220]",82.0,2.7
sub-218,13,pVALDO,"[106, 236, 200]",34.0,2.01
sub-218,14,pVALDO,"[109, 271, 169]",8.0,1.24
sub-218,15,pVALDO,"[113, 170, 162]",63.0,2.47
sub-218,16,pVALDO,"[117, 298, 237]",42.0,2.16
sub-218,17,pVALDO,"[118, 107, 158]",28.0,1.88
sub-218,18,pVALDO,"[118, 278, 174]",29.0,1.91
sub-218,19,pVALDO,"[121, 71, 168]",82.0,2.7
sub-218,20,pVALDO,"[151, 73, 185]",82.0,2.7
sub-218,21,pVALDO,"[161, 213, 242]",46.0,2.22
sub-218,22,pVALDO,"[163, 105, 92]",47.0,2.24
sub-218,23,pVALDO,"[163, 127, 84]",70.0,2.56
sub-218,24,pVALDO,"[205, 237, 87]",58.0,2.4
sub-218,25,pVALDO,"[256, 143, 146]",50.0,2.29
sub-302,0,pVALDO,"[216, 310, 144]",672.0,5.43
sub-318,0,pVALDO,"[105, 211, 116]",96.0,2.84
sub-222,0,pVALDO,"[57, 223, 95]",70.0,2.56
sub-222,1,pVALDO,"[83, 286, 219]",70.0,2.56
sub-222,2,pVALDO,"[86, 281, 219]",64.0,2.48
sub-222,3,pVALDO,"[93, 291, 206]",108.0,2.95
sub-222,4,pVALDO,"[100, 282, 226]",75.0,2.62
sub-222,5,pVALDO,"[99, 270, 219]",17.0,1.6
sub-222,6,pVALDO,"[105, 284, 235]",40.0,2.12
sub-222,7,pVALDO,"[110, 238, 249]",67.0,2.52
sub-222,8,pVALDO,"[112, 224, 257]",77.0,2.64
sub-222,9,pVALDO,"[116, 182, 237]",66.0,2.51
sub-222,10,pVALDO,"[224, 280, 177]",75.0,2.62
sub-327,0,pVALDO,"[65, 116, 121]",96.0,2.84
sub-303,0,pVALDO,"[177, 315, 152]",96.0,2.84
sub-317,0,pVALDO,"[108, 118, 239]",100.0,2.88
sub-313,0,pVALDO,"[196, 78, 73]",127.0,3.12
sub-305,0,pVALDO,"[105, 69, 87]",360.0,4.41
sub-305,1,pVALDO,"[235, 220, 23]",96.0,2.84
sub-234,0,pVALDO,"[96, 150, 116]",52.0,2.32
sub-234,1,pVALDO,"[118, 200, 143]",152.0,3.31
sub-207,0,pVALDO,"[38, 213, 94]",772.0,5.69
sub-207,1,pVALDO,"[82, 180, 158]",500.0,4.92
sub-207,2,pVALDO,"[87, 188, 164]",252.0,3.92
sub-207,3,pVALDO,"[99, 267, 200]",161.0,3.37
sub-207,4,pVALDO,"[104, 107, 61]",108.0,2.95
sub-207,5,pVALDO,"[196, 224, 166]",264.0,3.98
sub-207,6,pVALDO,"[199, 192, 160]",288.0,4.1
sub-207,7,pVALDO,"[200, 201, 158]",100.0,2.88
sub-207,8,pVALDO,"[203, 187, 139]",414.0,4.62
sub-308,0,pVALDO,"[193, 60, 73]",361.0,4.42
sub-228,0,pVALDO,"[121, 154, 150]",186.0,3.54
sub-228,1,pVALDO,"[136, 144, 65]",78.0,2.65
sub-228,2,pVALDO,"[161, 112, 66]",469.0,4.82
sub-228,3,pVALDO,"[161, 163, 160]",142.0,3.24
sub-228,4,pVALDO,"[175, 162, 155]",64.0,2.48
sub-228,5,pVALDO,"[190, 234, 132]",44.0,2.19
sub-228,6,pVALDO,"[203, 258, 130]",63.0,2.47
sub-228,7,pVALDO,"[218, 196, 74]",69.0,2.54
sub-322,0,pVALDO,"[155, 226, 149]",771.0,5.69
sub-103,0,pVALDO,"[110, 113, 49]",153.0,3.32
sub-103,1,pVALDO,"[154, 193, 153]",394.0,4.55
sub-103,2,pVALDO,"[166, 167, 155]",381.0,4.5
sub-103,3,pVALDO,"[180, 190, 184]",82.0,2.7
sub-103,4,pVALDO,"[197, 196, 177]",131.0,3.15
sub-103,5,pVALDO,"[201, 136, 170]",418.0,4.64
sub-111,0,pVALDO,"[61, 239, 119]",89.0,2.77
sub-111,1,pVALDO,"[179, 295, 219]",516.0,4.98
sub-111,2,pVALDO,"[207, 230, 192]",709.0,5.53
sub-314,0,pVALDO,"[180, 251, 196]",97.0,2.85
sub-107,0,pVALDO,"[175, 141, 120]",70.0,2.56
sub-107,1,pVALDO,"[207, 124, 199]",137.0,3.2
sub-310,0,pVALDO,"[184, 280, 212]",96.0,2.84
sub-312,0,pVALDO,"[186, 122, 208]",64.0,2.48
sub-312,1,pVALDO,"[195, 156, 198]",128.0,3.13
sub-321,0,pVALDO,"[172, 198, 123]",132.0,3.16
sub-321,1,pVALDO,"[200, 140, 117]",128.0,3.13
sub-212,0,pVALDO,"[108, 295, 174]",48.0,2.25
sub-232,0,pVALDO,"[162, 266, 154]",50.0,2.29
sub-208,0,pVALDO,"[171, 96, 158]",117.0,3.03
sub-326,0,pVALDO,"[120, 315, 178]",168.0,3.42
sub-229,0,pVALDO,"[68, 137, 176]",28.0,1.88
sub-221,0,pVALDO,"[36, 83, 112]",70.0,2.56
sub-221,1,pVALDO,"[42, 93, 122]",86.0,2.74
sub-221,2,pVALDO,"[69, 118, 194]",55.0,2.36
sub-221,3,pVALDO,"[71, 243, 161]",54.0,2.34
sub-221,4,pVALDO,"[73, 45, 166]",72.0,2.58
sub-221,5,pVALDO,"[73, 61, 144]",63.0,2.47
sub-221,6,pVALDO,"[74, 52, 168]",83.0,2.71
sub-221,7,pVALDO,"[80, 119, 200]",76.0,2.63
