studyUID;status;message
"1.2.826.1.3680043.9.5282.150415.34870.3487022232714";"completed";"Started processing 1.2.826.1.3680043.9.5282.150415.34870.3487022232714... (worker 1)
	Loading MRI scans and annotations...
		Only one label found: 0.0
		Number of processed CMBs: 0, Unique labels: [0.], Counts: [5750784]
		Loading of MRIs and annotations took 1.3728389739990234 seconds!

	Using T2S as primary sequence
	Performing skull-stripping using SynthStrip algorithm...
		Performing skull-stripping on T2S...
	Skull-stripping of MRIs took 17.21199345588684 seconds!

	Cropping MRIs and annotations to brain-only regions...
		MRIs shape before cropping: (416, 512, 27)
		Annotations shape before cropping: (416, 512, 27)
		MRIs shape after cropping: (284, 342, 22)
		Annotations shape after cropping: (284, 342, 22)
	Cropping completed in 0.09 seconds.

	Fixing orientation to RAS and data types...
		Found T2S MRI sequence, shape (284, 342, 22) and orientation ('L', 'A', 'S')
		Found T2S annotation, shape (284, 342, 22) and orientation ('L', 'A', 'S')
	Orientation and data type adjustment took 0.005249500274658203 seconds.

	Resampling MRIs and annotations maps...
		Resampling T2S MRI to isotropic of voxel size 0.5 using linear interpolation...
			Shape before resampling: (284, 342, 22)
			Shape after resampling: (285, 316, 297)
		Resampling T2S annotation to T2S using nearest interpolation...
			Shape before resampling: (284, 342, 22)
			Shape after resampling: (285, 316, 297)
	Resampling of MRIs and annotations took 5.809811353683472 seconds!

	Cleaning final masks and checking new stats for annotations after transforms
		Only one label found: 0.0
		Applying closing operation to every CMB
		Number of processed CMBs: 0, Unique labels: [0.], Counts: [26747820]
	Correctly saved NIfTI images and metadata for study
	Correctly generated and saved CMB plots for study
	Removed temporary cache for study folder
Finished processing of 1.2.826.1.3680043.9.5282.150415.34870.3487022232714 in 32.75 seconds (worker 1)!

"
"9cbb93d21b5ec208fb45a0ece3201515a2e0b2f6";"completed";"Started processing 9cbb93d21b5ec208fb45a0ece3201515a2e0b2f6... (worker 5)
	Loading MRI scans and annotations...
		Only one label found: 0.0
		Number of processed CMBs: 0, Unique labels: [0.], Counts: [6291456]
		Loading of MRIs and annotations took 1.5905389785766602 seconds!

	Using T2S as primary sequence
	Performing skull-stripping using SynthStrip algorithm...
		Performing skull-stripping on T2S...
	Skull-stripping of MRIs took 21.616748094558716 seconds!

	Cropping MRIs and annotations to brain-only regions...
		MRIs shape before cropping: (512, 512, 24)
		Annotations shape before cropping: (512, 512, 24)
		MRIs shape after cropping: (278, 337, 23)
		Annotations shape after cropping: (278, 337, 23)
	Cropping completed in 0.09 seconds.

	Fixing orientation to RAS and data types...
		Found T2S MRI sequence, shape (278, 337, 23) and orientation ('L', 'A', 'S')
		Found T2S annotation, shape (278, 337, 23) and orientation ('L', 'A', 'S')
	Orientation and data type adjustment took 0.003306150436401367 seconds.

	Resampling MRIs and annotations maps...
		Resampling T2S MRI to isotropic of voxel size 0.5 using linear interpolation...
			Shape before resampling: (278, 337, 23)
			Shape after resampling: (273, 351, 294)
		Resampling T2S annotation to T2S using nearest interpolation...
			Shape before resampling: (278, 337, 23)
			Shape after resampling: (273, 351, 294)
	Resampling of MRIs and annotations took 5.300175666809082 seconds!

	Cleaning final masks and checking new stats for annotations after transforms
		Only one label found: 0.0
		Applying closing operation to every CMB
		Number of processed CMBs: 0, Unique labels: [0.], Counts: [28171962]
	Correctly saved NIfTI images and metadata for study
	Correctly generated and saved CMB plots for study
	Removed temporary cache for study folder
Finished processing of 9cbb93d21b5ec208fb45a0ece3201515a2e0b2f6 in 37.76 seconds (worker 5)!

"
"1.2.826.1.3680043.9.5282.150415.34924.3492422192214";"completed";"Started processing 1.2.826.1.3680043.9.5282.150415.34924.3492422192214... (worker 4)
	Loading MRI scans and annotations...
		Only one label found: 0.0
		Number of processed CMBs: 0, Unique labels: [0.], Counts: [5750784]
		Loading of MRIs and annotations took 1.3534409999847412 seconds!

	Using T2S as primary sequence
	Performing skull-stripping using SynthStrip algorithm...
		Performing skull-stripping on T2S...
	Skull-stripping of MRIs took 19.724698305130005 seconds!

	Cropping MRIs and annotations to brain-only regions...
		MRIs shape before cropping: (416, 512, 27)
		Annotations shape before cropping: (416, 512, 27)
		MRIs shape after cropping: (293, 328, 23)
		Annotations shape after cropping: (293, 328, 23)
	Cropping completed in 0.07 seconds.

	Fixing orientation to RAS and data types...
		Found T2S MRI sequence, shape (293, 328, 23) and orientation ('L', 'A', 'S')
		Found T2S annotation, shape (293, 328, 23) and orientation ('L', 'A', 'S')
	Orientation and data type adjustment took 0.0033211708068847656 seconds.

	Resampling MRIs and annotations maps...
		Resampling T2S MRI to isotropic of voxel size 0.5 using linear interpolation...
			Shape before resampling: (293, 328, 23)
			Shape after resampling: (278, 348, 332)
		Resampling T2S annotation to T2S using nearest interpolation...
			Shape before resampling: (293, 328, 23)
			Shape after resampling: (278, 348, 332)
	Resampling of MRIs and annotations took 6.671029090881348 seconds!

	Cleaning final masks and checking new stats for annotations after transforms
		Only one label found: 0.0
		Applying closing operation to every CMB
		Number of processed CMBs: 0, Unique labels: [0.], Counts: [32119008]
	Correctly saved NIfTI images and metadata for study
	Correctly generated and saved CMB plots for study
	Removed temporary cache for study folder
Finished processing of 1.2.826.1.3680043.9.5282.150415.34924.3492422192214 in 38.20 seconds (worker 4)!

"
"1.2.826.1.3680043.9.5282.150415.730.73023232752";"completed";"Started processing 1.2.826.1.3680043.9.5282.150415.730.73023232752... (worker 3)
	Loading MRI scans and annotations...
		Only one label found: 0.0
		Number of processed CMBs: 0, Unique labels: [0.], Counts: [5734400]
		Loading of MRIs and annotations took 1.3809614181518555 seconds!

	Using T2S as primary sequence
	Performing skull-stripping using SynthStrip algorithm...
		Performing skull-stripping on T2S...
	Skull-stripping of MRIs took 19.87921667098999 seconds!

	Cropping MRIs and annotations to brain-only regions...
		MRIs shape before cropping: (400, 512, 28)
		Annotations shape before cropping: (400, 512, 28)
		MRIs shape after cropping: (296, 358, 25)
		Annotations shape after cropping: (296, 358, 25)
	Cropping completed in 0.07 seconds.

	Fixing orientation to RAS and data types...
		Found T2S MRI sequence, shape (296, 358, 25) and orientation ('L', 'A', 'S')
		Found T2S annotation, shape (296, 358, 25) and orientation ('L', 'A', 'S')
	Orientation and data type adjustment took 0.0032622814178466797 seconds.

	Resampling MRIs and annotations maps...
		Resampling T2S MRI to isotropic of voxel size 0.5 using linear interpolation...
			Shape before resampling: (296, 358, 25)
			Shape after resampling: (296, 352, 318)
		Resampling T2S annotation to T2S using nearest interpolation...
			Shape before resampling: (296, 358, 25)
			Shape after resampling: (296, 352, 318)
	Resampling of MRIs and annotations took 6.517243385314941 seconds!

	Cleaning final masks and checking new stats for annotations after transforms
		Only one label found: 0.0
		Applying closing operation to every CMB
		Number of processed CMBs: 0, Unique labels: [0.], Counts: [33133056]
	Correctly saved NIfTI images and metadata for study
	Correctly generated and saved CMB plots for study
	Removed temporary cache for study folder
Finished processing of 1.2.826.1.3680043.9.5282.150415.730.73023232752 in 38.68 seconds (worker 3)!

"
"82aee0c57eacfeb5f5945a6d5fdb7cd724f85062";"completed";"Started processing 82aee0c57eacfeb5f5945a6d5fdb7cd724f85062... (worker 0)
	Loading MRI scans and annotations...
		Only one label found: 0.0
		Number of processed CMBs: 0, Unique labels: [0.], Counts: [8650752]
		Loading of MRIs and annotations took 2.14125919342041 seconds!

	Using T2S as primary sequence
	Performing skull-stripping using SynthStrip algorithm...
		Performing skull-stripping on T2S...
	Skull-stripping of MRIs took 21.31520915031433 seconds!

	Cropping MRIs and annotations to brain-only regions...
		MRIs shape before cropping: (512, 512, 33)
		Annotations shape before cropping: (512, 512, 33)
		MRIs shape after cropping: (293, 355, 32)
		Annotations shape after cropping: (293, 355, 32)
	Cropping completed in 0.13 seconds.

	Fixing orientation to RAS and data types...
		Found T2S MRI sequence, shape (293, 355, 32) and orientation ('L', 'A', 'S')
		Found T2S annotation, shape (293, 355, 32) and orientation ('L', 'A', 'S')
	Orientation and data type adjustment took 0.00650477409362793 seconds.

	Resampling MRIs and annotations maps...
		Resampling T2S MRI to isotropic of voxel size 0.5 using linear interpolation...
			Shape before resampling: (293, 355, 32)
			Shape after resampling: (289, 342, 302)
		Resampling T2S annotation to T2S using nearest interpolation...
			Shape before resampling: (293, 355, 32)
			Shape after resampling: (289, 342, 302)
	Resampling of MRIs and annotations took 5.683232545852661 seconds!

	Cleaning final masks and checking new stats for annotations after transforms
		Only one label found: 0.0
		Applying closing operation to every CMB
		Number of processed CMBs: 0, Unique labels: [0.], Counts: [29849076]
	Correctly saved NIfTI images and metadata for study
	Correctly generated and saved CMB plots for study
	Removed temporary cache for study folder
Finished processing of 82aee0c57eacfeb5f5945a6d5fdb7cd724f85062 in 39.89 seconds (worker 0)!

"
"8f6c90a611bc54b5c98e28734c16418a8b1bbca4";"completed";"Started processing 8f6c90a611bc54b5c98e28734c16418a8b1bbca4... (worker 2)
	Loading MRI scans and annotations...
		Only one label found: 0.0
		Number of processed CMBs: 0, Unique labels: [0.], Counts: [6291456]
		Loading of MRIs and annotations took 1.5667822360992432 seconds!

	Using T2S as primary sequence
	Performing skull-stripping using SynthStrip algorithm...
		Performing skull-stripping on T2S...
	Skull-stripping of MRIs took 20.216440677642822 seconds!

	Cropping MRIs and annotations to brain-only regions...
		MRIs shape before cropping: (512, 512, 24)
		Annotations shape before cropping: (512, 512, 24)
		MRIs shape after cropping: (284, 351, 24)
		Annotations shape after cropping: (284, 351, 24)
	Cropping completed in 0.09 seconds.

	Fixing orientation to RAS and data types...
		Found T2S MRI sequence, shape (284, 351, 24) and orientation ('L', 'A', 'S')
		Found T2S annotation, shape (284, 351, 24) and orientation ('L', 'A', 'S')
	Orientation and data type adjustment took 0.003683328628540039 seconds.

	Resampling MRIs and annotations maps...
		Resampling T2S MRI to isotropic of voxel size 0.5 using linear interpolation...
			Shape before resampling: (284, 351, 24)
			Shape after resampling: (284, 421, 379)
		Resampling T2S annotation to T2S using nearest interpolation...
			Shape before resampling: (284, 351, 24)
			Shape after resampling: (284, 421, 379)
	Resampling of MRIs and annotations took 8.651710510253906 seconds!

	Cleaning final masks and checking new stats for annotations after transforms
		Only one label found: 0.0
		Applying closing operation to every CMB
		Number of processed CMBs: 0, Unique labels: [0.], Counts: [45314756]
	Correctly saved NIfTI images and metadata for study
	Correctly generated and saved CMB plots for study
	Removed temporary cache for study folder
Finished processing of 8f6c90a611bc54b5c98e28734c16418a8b1bbca4 in 48.98 seconds (worker 2)!

"
"10552ac3a90eba71b1e40a164dddec3fe136bab6";"completed";"Started processing 10552ac3a90eba71b1e40a164dddec3fe136bab6... (worker 6)
	Loading MRI scans and annotations...
		Only one label found: 0.0
		Number of processed CMBs: 0, Unique labels: [0.], Counts: [15728640]
		Loading of MRIs and annotations took 3.9103026390075684 seconds!

	Using T2S as primary sequence
	Performing skull-stripping using SynthStrip algorithm...
		Performing skull-stripping on T2S...
	Skull-stripping of MRIs took 21.836798667907715 seconds!

	Cropping MRIs and annotations to brain-only regions...
		MRIs shape before cropping: (512, 512, 60)
		Annotations shape before cropping: (512, 512, 60)
		MRIs shape after cropping: (301, 376, 60)
		Annotations shape after cropping: (301, 376, 60)
	Cropping completed in 0.27 seconds.

	Fixing orientation to RAS and data types...
		Found T2S MRI sequence, shape (301, 376, 60) and orientation ('L', 'A', 'S')
		Found T2S annotation, shape (301, 376, 60) and orientation ('L', 'A', 'S')
	Orientation and data type adjustment took 0.0034313201904296875 seconds.

	Resampling MRIs and annotations maps...
		Resampling T2S MRI to isotropic of voxel size 0.5 using linear interpolation...
			Shape before resampling: (301, 376, 60)
			Shape after resampling: (299, 415, 358)
		Resampling T2S annotation to T2S using nearest interpolation...
			Shape before resampling: (301, 376, 60)
			Shape after resampling: (299, 415, 358)
	Resampling of MRIs and annotations took 10.030702829360962 seconds!

	Cleaning final masks and checking new stats for annotations after transforms
		Only one label found: 0.0
		Applying closing operation to every CMB
		Number of processed CMBs: 0, Unique labels: [0.], Counts: [44422430]
	Correctly saved NIfTI images and metadata for study
	Correctly generated and saved CMB plots for study
	Removed temporary cache for study folder
Finished processing of 10552ac3a90eba71b1e40a164dddec3fe136bab6 in 54.60 seconds (worker 6)!

"
"1.2.826.1.3680043.9.5282.150415.23918.2391822232752";"completed";"Started processing 1.2.826.1.3680043.9.5282.150415.23918.2391822232752... (worker 1)
	Loading MRI scans and annotations...
		Only one label found: 0.0
		Number of processed CMBs: 0, Unique labels: [0.], Counts: [4915200]
		Loading of MRIs and annotations took 1.0847463607788086 seconds!

	Using T2S as primary sequence
	Performing skull-stripping using SynthStrip algorithm...
		Performing skull-stripping on T2S...
	Skull-stripping of MRIs took 10.908398389816284 seconds!

	Cropping MRIs and annotations to brain-only regions...
		MRIs shape before cropping: (400, 512, 24)
		Annotations shape before cropping: (400, 512, 24)
		MRIs shape after cropping: (304, 393, 22)
		Annotations shape after cropping: (304, 393, 22)
	Cropping completed in 0.06 seconds.

	Fixing orientation to RAS and data types...
		Found T2S MRI sequence, shape (304, 393, 22) and orientation ('L', 'A', 'S')
		Found T2S annotation, shape (304, 393, 22) and orientation ('L', 'A', 'S')
	Orientation and data type adjustment took 0.0064239501953125 seconds.

	Resampling MRIs and annotations maps...
		Resampling T2S MRI to isotropic of voxel size 0.5 using linear interpolation...
			Shape before resampling: (304, 393, 22)
			Shape after resampling: (286, 379, 312)
		Resampling T2S annotation to T2S using nearest interpolation...
			Shape before resampling: (304, 393, 22)
			Shape after resampling: (286, 379, 312)
	Resampling of MRIs and annotations took 9.386245489120483 seconds!

	Cleaning final masks and checking new stats for annotations after transforms
		Only one label found: 0.0
		Applying closing operation to every CMB
		Number of processed CMBs: 0, Unique labels: [0.], Counts: [33818928]
	Correctly saved NIfTI images and metadata for study
	Correctly generated and saved CMB plots for study
	Removed temporary cache for study folder
Finished processing of 1.2.826.1.3680043.9.5282.150415.23918.2391822232752 in 35.09 seconds (worker 1)!

"
"1.2.840.113845.11.1000000001815528930.20200724212654.3430632";"completed";"Started processing 1.2.840.113845.11.1000000001815528930.20200724212654.3430632... (worker 3)
	Loading MRI scans and annotations...
		Only one label found: 0.0
		Number of processed CMBs: 0, Unique labels: [0.], Counts: [4685824]
		Loading of MRIs and annotations took 1.0315115451812744 seconds!

	Using SWI as primary sequence
	Performing skull-stripping using SynthStrip algorithm...
		Performing skull-stripping on SWI...
	Skull-stripping of MRIs took 12.956113576889038 seconds!

	Cropping MRIs and annotations to brain-only regions...
		MRIs shape before cropping: (208, 256, 88)
		Annotations shape before cropping: (208, 256, 88)
		MRIs shape after cropping: (154, 181, 75)
		Annotations shape after cropping: (154, 181, 75)
	Cropping completed in 0.06 seconds.

	Fixing orientation to RAS and data types...
		Found SWI MRI sequence, shape (154, 181, 75) and orientation ('L', 'A', 'S')
		Found SWI annotation, shape (154, 181, 75) and orientation ('L', 'A', 'S')
	Orientation and data type adjustment took 0.0029726028442382812 seconds.

	Resampling MRIs and annotations maps...
		Resampling SWI MRI to isotropic of voxel size 0.5 using linear interpolation...
			Shape before resampling: (154, 181, 75)
			Shape after resampling: (299, 354, 323)
		Resampling SWI annotation to SWI using nearest interpolation...
			Shape before resampling: (154, 181, 75)
			Shape after resampling: (299, 354, 323)
	Resampling of MRIs and annotations took 9.783501863479614 seconds!

	Cleaning final masks and checking new stats for annotations after transforms
		Only one label found: 0.0
		Applying closing operation to every CMB
		Number of processed CMBs: 0, Unique labels: [0.], Counts: [34188258]
	Correctly saved NIfTI images and metadata for study
	Correctly generated and saved CMB plots for study
	Removed temporary cache for study folder
Finished processing of 1.2.840.113845.11.1000000001815528930.20200724212654.3430632 in 34.51 seconds (worker 3)!

"
"1.2.826.1.3680043.9.5282.150415.1843.184323190352";"completed";"Started processing 1.2.826.1.3680043.9.5282.150415.1843.184323190352... (worker 4)
	Loading MRI scans and annotations...
		Only one label found: 0.0
		Number of processed CMBs: 0, Unique labels: [0.], Counts: [5324800]
		Loading of MRIs and annotations took 1.1947710514068604 seconds!

	Using T2S as primary sequence
	Performing skull-stripping using SynthStrip algorithm...
		Performing skull-stripping on T2S...
	Skull-stripping of MRIs took 13.264027833938599 seconds!

	Cropping MRIs and annotations to brain-only regions...
		MRIs shape before cropping: (400, 512, 26)
		Annotations shape before cropping: (400, 512, 26)
		MRIs shape after cropping: (303, 369, 23)
		Annotations shape after cropping: (303, 369, 23)
	Cropping completed in 0.06 seconds.

	Fixing orientation to RAS and data types...
		Found T2S MRI sequence, shape (303, 369, 23) and orientation ('L', 'A', 'S')
		Found T2S annotation, shape (303, 369, 23) and orientation ('L', 'A', 'S')
	Orientation and data type adjustment took 0.003191232681274414 seconds.

	Resampling MRIs and annotations maps...
		Resampling T2S MRI to isotropic of voxel size 0.5 using linear interpolation...
			Shape before resampling: (303, 369, 23)
			Shape after resampling: (302, 368, 320)
		Resampling T2S annotation to T2S using nearest interpolation...
			Shape before resampling: (303, 369, 23)
			Shape after resampling: (302, 368, 320)
	Resampling of MRIs and annotations took 9.707417964935303 seconds!

	Cleaning final masks and checking new stats for annotations after transforms
		Only one label found: 0.0
		Applying closing operation to every CMB
		Number of processed CMBs: 0, Unique labels: [0.], Counts: [35563520]
	Correctly saved NIfTI images and metadata for study
	Correctly generated and saved CMB plots for study
	Removed temporary cache for study folder
Finished processing of 1.2.826.1.3680043.9.5282.150415.1843.184323190352 in 35.76 seconds (worker 4)!

"
