studyUID;status;message
"279_T0_MRI_SWI_BFC_50mm_HM";"completed";"Started processing 279_T0_MRI_SWI_BFC_50mm_HM... (worker 4)
	Loading MRI scans and annotations...
		Applying Region Growing with max_distance=10, max_size=340

			CMB-0
				Will use RG radius of 0.98
				Sphere created with radius 1.0607844179470554mm, size=5
		Loading of MRIs and annotations took 23.60032844543457 seconds!

	Using SWI as primary sequence
	Performing skull-stripping using SynthStrip algorithm...
		Performing skull-stripping on SWI...
	Skull-stripping of MRIs took 10.867539644241333 seconds!

	Cropping MRIs and annotations to brain-only regions...
		MRIs shape before cropping: (176, 256, 80)
		Annotations shape before cropping: (176, 256, 80)
		MRIs shape after cropping: (142, 181, 80)
		Annotations shape after cropping: (142, 181, 80)
	Cropping completed in 0.05 seconds.

	Fixing orientation to RAS and data types...
		Found SWI MRI sequence, shape (142, 181, 80) and orientation ('L', 'P', 'S')
		Found SWI annotation, shape (142, 181, 80) and orientation ('L', 'P', 'S')
	Orientation and data type adjustment took 0.0033555030822753906 seconds.

	Resampling MRIs and annotations maps...
		Resampling SWI MRI to isotropic of voxel size 0.5 using linear interpolation...
			Shape before resampling: (142, 181, 80)
			Shape after resampling: (279, 396, 360)
		Resampling SWI annotation to SWI using nearest interpolation...
			Shape before resampling: (142, 181, 80)
			Shape after resampling: (279, 396, 360)
	Resampling of MRIs and annotations took 12.272480010986328 seconds!

	Cleaning final masks and checking new stats for annotations after transforms
		Applying closing operation to every CMB
		Number of processed CMBs: 1, Unique labels: [0. 1.], Counts: [39774182       58]
	Correctly saved NIfTI images and metadata for study
	Correctly generated and saved CMB plots for study
	Removed temporary cache for study folder
Finished processing of 279_T0_MRI_SWI_BFC_50mm_HM in 79.71 seconds (worker 4)!

"
"3_T2_MRI_SWI_BFC_50mm_HM";"completed";"Started processing 3_T2_MRI_SWI_BFC_50mm_HM... (worker 3)
	Loading MRI scans and annotations...
		Applying Region Growing with max_distance=10, max_size=340

			CMB-0
				Will use RG radius of 0.89
				Mask expanded by one layer, new size=7 voxels.
				Sphere created with radius 0.6203504908994001mm, size=7
		Loading of MRIs and annotations took 24.345405340194702 seconds!

	Using SWI as primary sequence
	Performing skull-stripping using SynthStrip algorithm...
		Performing skull-stripping on SWI...
	Skull-stripping of MRIs took 11.266680717468262 seconds!

	Cropping MRIs and annotations to brain-only regions...
		MRIs shape before cropping: (176, 256, 80)
		Annotations shape before cropping: (176, 256, 80)
		MRIs shape after cropping: (145, 181, 78)
		Annotations shape after cropping: (145, 181, 78)
	Cropping completed in 0.06 seconds.

	Fixing orientation to RAS and data types...
		Found SWI MRI sequence, shape (145, 181, 78) and orientation ('L', 'P', 'S')
		Found SWI annotation, shape (145, 181, 78) and orientation ('L', 'P', 'S')
	Orientation and data type adjustment took 0.003576517105102539 seconds.

	Resampling MRIs and annotations maps...
		Resampling SWI MRI to isotropic of voxel size 0.5 using linear interpolation...
			Shape before resampling: (145, 181, 78)
			Shape after resampling: (295, 436, 417)
		Resampling SWI annotation to SWI using nearest interpolation...
			Shape before resampling: (145, 181, 78)
			Shape after resampling: (295, 436, 417)
	Resampling of MRIs and annotations took 16.180322408676147 seconds!

	Cleaning final masks and checking new stats for annotations after transforms
		Applying closing operation to every CMB
		Number of processed CMBs: 1, Unique labels: [0. 1.], Counts: [53634462       78]
	Correctly saved NIfTI images and metadata for study
	Correctly generated and saved CMB plots for study
	Removed temporary cache for study folder
Finished processing of 3_T2_MRI_SWI_BFC_50mm_HM in 94.64 seconds (worker 3)!

"
"239_T1_MRI_SWI_BFC_50mm_HM";"completed";"Started processing 239_T1_MRI_SWI_BFC_50mm_HM... (worker 1)
	Loading MRI scans and annotations...
		Applying Region Growing with max_distance=10, max_size=340

			CMB-0
				Will use RG radius of 1.19
				Sphere created with radius 1.0607844179470554mm, size=5
			CMB-1
				Will use RG radius of 1.13
				Sphere created with radius 1.0607844179470554mm, size=5
		Loading of MRIs and annotations took 42.82581830024719 seconds!

	Using SWI as primary sequence
	Performing skull-stripping using SynthStrip algorithm...
		Performing skull-stripping on SWI...
	Skull-stripping of MRIs took 12.357171297073364 seconds!

	Cropping MRIs and annotations to brain-only regions...
		MRIs shape before cropping: (176, 256, 80)
		Annotations shape before cropping: (176, 256, 80)
		MRIs shape after cropping: (141, 173, 79)
		Annotations shape after cropping: (141, 173, 79)
	Cropping completed in 0.06 seconds.

	Fixing orientation to RAS and data types...
		Found SWI MRI sequence, shape (141, 173, 79) and orientation ('L', 'P', 'S')
		Found SWI annotation, shape (141, 173, 79) and orientation ('L', 'P', 'S')
	Orientation and data type adjustment took 0.004221916198730469 seconds.

	Resampling MRIs and annotations maps...
		Resampling SWI MRI to isotropic of voxel size 0.5 using linear interpolation...
			Shape before resampling: (141, 173, 79)
			Shape after resampling: (277, 360, 328)
		Resampling SWI annotation to SWI using nearest interpolation...
			Shape before resampling: (141, 173, 79)
			Shape after resampling: (277, 360, 328)
	Resampling of MRIs and annotations took 15.338991641998291 seconds!

	Cleaning final masks and checking new stats for annotations after transforms
		Applying closing operation to every CMB
		Number of processed CMBs: 2, Unique labels: [0. 1.], Counts: [32708037      123]
	Correctly saved NIfTI images and metadata for study
	Correctly generated and saved CMB plots for study
	Removed temporary cache for study folder
Finished processing of 239_T1_MRI_SWI_BFC_50mm_HM in 104.98 seconds (worker 1)!

"
"122_T1_MRI_SWI_BFC_50mm_HM";"completed";"Started processing 122_T1_MRI_SWI_BFC_50mm_HM... (worker 0)
	Loading MRI scans and annotations...
		Applying Region Growing with max_distance=10, max_size=340

			CMB-0
				Will use RG radius of 0.62
				Mask expanded by one layer, new size=7 voxels.
				Sphere created with radius 0.6203504908994001mm, size=7
			CMB-1
				Will use RG radius of 1.13
				Sphere created with radius 1.0607844179470554mm, size=5
		Loading of MRIs and annotations took 41.97687768936157 seconds!

	Using SWI as primary sequence
	Performing skull-stripping using SynthStrip algorithm...
		Performing skull-stripping on SWI...
	Skull-stripping of MRIs took 13.062743902206421 seconds!

	Cropping MRIs and annotations to brain-only regions...
		MRIs shape before cropping: (176, 256, 80)
		Annotations shape before cropping: (176, 256, 80)
		MRIs shape after cropping: (147, 184, 80)
		Annotations shape after cropping: (147, 184, 80)
	Cropping completed in 0.08 seconds.

	Fixing orientation to RAS and data types...
		Found SWI MRI sequence, shape (147, 184, 80) and orientation ('L', 'P', 'S')
		Found SWI annotation, shape (147, 184, 80) and orientation ('L', 'P', 'S')
	Orientation and data type adjustment took 0.004143476486206055 seconds.

	Resampling MRIs and annotations maps...
		Resampling SWI MRI to isotropic of voxel size 0.5 using linear interpolation...
			Shape before resampling: (147, 184, 80)
			Shape after resampling: (300, 359, 319)
		Resampling SWI annotation to SWI using nearest interpolation...
			Shape before resampling: (147, 184, 80)
			Shape after resampling: (300, 359, 319)
	Resampling of MRIs and annotations took 16.50786018371582 seconds!

	Cleaning final masks and checking new stats for annotations after transforms
		Applying closing operation to every CMB
		Number of processed CMBs: 2, Unique labels: [0. 1.], Counts: [34356126      174]
	Correctly saved NIfTI images and metadata for study
	Correctly generated and saved CMB plots for study
	Removed temporary cache for study folder
Finished processing of 122_T1_MRI_SWI_BFC_50mm_HM in 108.41 seconds (worker 0)!

"
"304_T2_MRI_SWI_BFC_50mm_HM";"completed";"Started processing 304_T2_MRI_SWI_BFC_50mm_HM... (worker 0)
	Loading MRI scans and annotations...
		Applying Region Growing with max_distance=10, max_size=340

			CMB-0
				Will use RG radius of 1.06
				Sphere created with radius 1.0607844179470554mm, size=5
		Loading of MRIs and annotations took 22.05874466896057 seconds!

	Using SWI as primary sequence
	Performing skull-stripping using SynthStrip algorithm...
		Performing skull-stripping on SWI...
	Skull-stripping of MRIs took 15.048707962036133 seconds!

	Cropping MRIs and annotations to brain-only regions...
		MRIs shape before cropping: (176, 256, 80)
		Annotations shape before cropping: (176, 256, 80)
		MRIs shape after cropping: (141, 172, 80)
		Annotations shape after cropping: (141, 172, 80)
	Cropping completed in 0.06 seconds.

	Fixing orientation to RAS and data types...
		Found SWI MRI sequence, shape (141, 172, 80) and orientation ('L', 'P', 'S')
		Found SWI annotation, shape (141, 172, 80) and orientation ('L', 'P', 'S')
	Orientation and data type adjustment took 0.003679037094116211 seconds.

	Resampling MRIs and annotations maps...
		Resampling SWI MRI to isotropic of voxel size 0.5 using linear interpolation...
			Shape before resampling: (141, 172, 80)
			Shape after resampling: (279, 356, 331)
		Resampling SWI annotation to SWI using nearest interpolation...
			Shape before resampling: (141, 172, 80)
			Shape after resampling: (279, 356, 331)
	Resampling of MRIs and annotations took 8.440051317214966 seconds!

	Cleaning final masks and checking new stats for annotations after transforms
		Applying closing operation to every CMB
		Number of processed CMBs: 1, Unique labels: [0. 1.], Counts: [32876179       65]
	Correctly saved NIfTI images and metadata for study
	Correctly generated and saved CMB plots for study
	Removed temporary cache for study folder
Finished processing of 304_T2_MRI_SWI_BFC_50mm_HM in 72.09 seconds (worker 0)!

"
"273_T2_MRI_SWI_BFC_50mm_HM";"completed";"Started processing 273_T2_MRI_SWI_BFC_50mm_HM... (worker 2)
	Loading MRI scans and annotations...
		Applying Region Growing with max_distance=10, max_size=340

			CMB-0
				Will use RG radius of 0.98
				Sphere created with radius 1.0607844179470554mm, size=5
			CMB-1
				Will use RG radius of 1.19
				Sphere created with radius 1.0607844179470554mm, size=5
			CMB-2
				Will use RG radius of 0.89
				Mask expanded by one layer, new size=7 voxels.
				Sphere created with radius 0.6203504908994001mm, size=7
			CMB-3
				Will use RG radius of 1.13
				Sphere created with radius 1.0607844179470554mm, size=5
			CMB-4
				Will use RG radius of 1.13
				Sphere created with radius 1.0607844179470554mm, size=5
		Loading of MRIs and annotations took 97.91780185699463 seconds!

	Using SWI as primary sequence
	Performing skull-stripping using SynthStrip algorithm...
		Performing skull-stripping on SWI...
	Skull-stripping of MRIs took 14.379766941070557 seconds!

	Cropping MRIs and annotations to brain-only regions...
		MRIs shape before cropping: (176, 256, 80)
		Annotations shape before cropping: (176, 256, 80)
		MRIs shape after cropping: (140, 173, 78)
		Annotations shape after cropping: (140, 173, 78)
	Cropping completed in 0.05 seconds.

	Fixing orientation to RAS and data types...
		Found SWI MRI sequence, shape (140, 173, 78) and orientation ('L', 'P', 'S')
		Found SWI annotation, shape (140, 173, 78) and orientation ('L', 'P', 'S')
	Orientation and data type adjustment took 0.0033636093139648438 seconds.

	Resampling MRIs and annotations maps...
		Resampling SWI MRI to isotropic of voxel size 0.5 using linear interpolation...
			Shape before resampling: (140, 173, 78)
			Shape after resampling: (264, 356, 312)
		Resampling SWI annotation to SWI using nearest interpolation...
			Shape before resampling: (140, 173, 78)
			Shape after resampling: (264, 356, 312)
	Resampling of MRIs and annotations took 13.532609939575195 seconds!

	Cleaning final masks and checking new stats for annotations after transforms
		Applying closing operation to every CMB
		Number of processed CMBs: 5, Unique labels: [0. 1.], Counts: [29322659      349]
	Correctly saved NIfTI images and metadata for study
	Correctly generated and saved CMB plots for study
	Removed temporary cache for study folder
Finished processing of 273_T2_MRI_SWI_BFC_50mm_HM in 180.71 seconds (worker 2)!

"
"222_T1_MRI_SWI_BFC_50mm_HM";"completed";"Started processing 222_T1_MRI_SWI_BFC_50mm_HM... (worker 3)
	Loading MRI scans and annotations...
		Applying Region Growing with max_distance=10, max_size=340

			CMB-0
				Will use RG radius of 1.84
				Sphere created with radius 1.379647140935167mm, size=11
			CMB-1
				Will use RG radius of 1.13
				Sphere created with radius 1.0607844179470554mm, size=5
			CMB-2
				Will use RG radius of 1.13
				Sphere created with radius 1.0607844179470554mm, size=5
		Loading of MRIs and annotations took 62.888439655303955 seconds!

	Using SWI as primary sequence
	Performing skull-stripping using SynthStrip algorithm...
		Performing skull-stripping on SWI...
	Skull-stripping of MRIs took 14.69299054145813 seconds!

	Cropping MRIs and annotations to brain-only regions...
		MRIs shape before cropping: (176, 256, 80)
		Annotations shape before cropping: (176, 256, 80)
		MRIs shape after cropping: (163, 190, 80)
		Annotations shape after cropping: (163, 190, 80)
	Cropping completed in 0.13 seconds.

	Fixing orientation to RAS and data types...
		Found SWI MRI sequence, shape (163, 190, 80) and orientation ('L', 'P', 'S')
		Found SWI annotation, shape (163, 190, 80) and orientation ('L', 'P', 'S')
	Orientation and data type adjustment took 0.0036203861236572266 seconds.

	Resampling MRIs and annotations maps...
		Resampling SWI MRI to isotropic of voxel size 0.5 using linear interpolation...
			Shape before resampling: (163, 190, 80)
			Shape after resampling: (306, 410, 353)
		Resampling SWI annotation to SWI using nearest interpolation...
			Shape before resampling: (163, 190, 80)
			Shape after resampling: (306, 410, 353)
	Resampling of MRIs and annotations took 17.493590354919434 seconds!

	Cleaning final masks and checking new stats for annotations after transforms
		Applying closing operation to every CMB
		Number of processed CMBs: 3, Unique labels: [0. 1.], Counts: [44287104      276]
	Correctly saved NIfTI images and metadata for study
	Correctly generated and saved CMB plots for study
	Removed temporary cache for study folder
Finished processing of 222_T1_MRI_SWI_BFC_50mm_HM in 147.61 seconds (worker 3)!

"
"238_T3_MRI_SWI_BFC_50mm_HM";"completed";"Started processing 238_T3_MRI_SWI_BFC_50mm_HM... (worker 1)
	Loading MRI scans and annotations...
		Applying Region Growing with max_distance=10, max_size=340

			CMB-0
				Will use RG radius of 1.95
				Sphere created with radius 1.5299158709729348mm, size=15
			CMB-1
				Will use RG radius of 1.06
				Sphere created with radius 1.0607844179470554mm, size=5
			CMB-2
				Will use RG radius of 0.78
				Mask expanded by one layer, new size=7 voxels.
				Sphere created with radius 0.6203504908994001mm, size=7
		Loading of MRIs and annotations took 66.51653718948364 seconds!

	Using SWI as primary sequence
	Performing skull-stripping using SynthStrip algorithm...
		Performing skull-stripping on SWI...
	Skull-stripping of MRIs took 16.89192533493042 seconds!

	Cropping MRIs and annotations to brain-only regions...
		MRIs shape before cropping: (176, 256, 80)
		Annotations shape before cropping: (176, 256, 80)
		MRIs shape after cropping: (160, 192, 80)
		Annotations shape after cropping: (160, 192, 80)
	Cropping completed in 0.11 seconds.

	Fixing orientation to RAS and data types...
		Found SWI MRI sequence, shape (160, 192, 80) and orientation ('L', 'P', 'S')
		Found SWI annotation, shape (160, 192, 80) and orientation ('L', 'P', 'S')
	Orientation and data type adjustment took 0.005422353744506836 seconds.

	Resampling MRIs and annotations maps...
		Resampling SWI MRI to isotropic of voxel size 0.5 using linear interpolation...
			Shape before resampling: (160, 192, 80)
			Shape after resampling: (300, 363, 283)
		Resampling SWI annotation to SWI using nearest interpolation...
			Shape before resampling: (160, 192, 80)
			Shape after resampling: (300, 363, 283)
	Resampling of MRIs and annotations took 14.274085998535156 seconds!

	Cleaning final masks and checking new stats for annotations after transforms
		Applying closing operation to every CMB
		Number of processed CMBs: 3, Unique labels: [0. 1.], Counts: [30818372      328]
	Correctly saved NIfTI images and metadata for study
	Correctly generated and saved CMB plots for study
	Removed temporary cache for study folder
Finished processing of 238_T3_MRI_SWI_BFC_50mm_HM in 139.37 seconds (worker 1)!

"
"256_T1_MRI_SWI_BFC_50mm_HM";"completed";"Started processing 256_T1_MRI_SWI_BFC_50mm_HM... (worker 0)
	Loading MRI scans and annotations...
		Applying Region Growing with max_distance=10, max_size=340

			CMB-0
				Will use RG radius of 0.62
				Mask expanded by one layer, new size=7 voxels.
				Sphere created with radius 0.6203504908994001mm, size=7
		Loading of MRIs and annotations took 21.641351461410522 seconds!

	Using SWI as primary sequence
	Performing skull-stripping using SynthStrip algorithm...
		Performing skull-stripping on SWI...
	Skull-stripping of MRIs took 14.06143569946289 seconds!

	Cropping MRIs and annotations to brain-only regions...
		MRIs shape before cropping: (176, 256, 80)
		Annotations shape before cropping: (176, 256, 80)
		MRIs shape after cropping: (149, 183, 78)
		Annotations shape after cropping: (149, 183, 78)
	Cropping completed in 0.12 seconds.

	Fixing orientation to RAS and data types...
		Found SWI MRI sequence, shape (149, 183, 78) and orientation ('L', 'P', 'S')
		Found SWI annotation, shape (149, 183, 78) and orientation ('L', 'P', 'S')
	Orientation and data type adjustment took 0.006760120391845703 seconds.

	Resampling MRIs and annotations maps...
		Resampling SWI MRI to isotropic of voxel size 0.5 using linear interpolation...
			Shape before resampling: (149, 183, 78)
			Shape after resampling: (288, 371, 316)
		Resampling SWI annotation to SWI using nearest interpolation...
			Shape before resampling: (149, 183, 78)
			Shape after resampling: (288, 371, 316)
	Resampling of MRIs and annotations took 12.547292709350586 seconds!

	Cleaning final masks and checking new stats for annotations after transforms
		Applying closing operation to every CMB
		Number of processed CMBs: 1, Unique labels: [0. 1.], Counts: [33763881       87]
	Correctly saved NIfTI images and metadata for study
	Correctly generated and saved CMB plots for study
	Removed temporary cache for study folder
Finished processing of 256_T1_MRI_SWI_BFC_50mm_HM in 78.78 seconds (worker 0)!

"
"249_T1_MRI_SWI_BFC_50mm_HM";"completed";"Started processing 249_T1_MRI_SWI_BFC_50mm_HM... (worker 2)
	Loading MRI scans and annotations...
		Applying Region Growing with max_distance=10, max_size=340

			CMB-0
				Will use RG radius of 0.62
				Mask expanded by one layer, new size=7 voxels.
				Sphere created with radius 0.6203504908994001mm, size=7
		Loading of MRIs and annotations took 22.036405324935913 seconds!

	Using SWI as primary sequence
	Performing skull-stripping using SynthStrip algorithm...
		Performing skull-stripping on SWI...
	Skull-stripping of MRIs took 14.793006420135498 seconds!

	Cropping MRIs and annotations to brain-only regions...
		MRIs shape before cropping: (176, 256, 80)
		Annotations shape before cropping: (176, 256, 80)
		MRIs shape after cropping: (140, 183, 80)
		Annotations shape after cropping: (140, 183, 80)
	Cropping completed in 0.08 seconds.

	Fixing orientation to RAS and data types...
		Found SWI MRI sequence, shape (140, 183, 80) and orientation ('L', 'P', 'S')
		Found SWI annotation, shape (140, 183, 80) and orientation ('L', 'P', 'S')
	Orientation and data type adjustment took 0.0035097599029541016 seconds.

	Resampling MRIs and annotations maps...
		Resampling SWI MRI to isotropic of voxel size 0.5 using linear interpolation...
			Shape before resampling: (140, 183, 80)
			Shape after resampling: (304, 391, 371)
		Resampling SWI annotation to SWI using nearest interpolation...
			Shape before resampling: (140, 183, 80)
			Shape after resampling: (304, 391, 371)
	Resampling of MRIs and annotations took 15.619037866592407 seconds!

	Cleaning final masks and checking new stats for annotations after transforms
		Applying closing operation to every CMB
		Number of processed CMBs: 1, Unique labels: [0. 1.], Counts: [44098457       87]
	Correctly saved NIfTI images and metadata for study
	Correctly generated and saved CMB plots for study
	Removed temporary cache for study folder
Finished processing of 249_T1_MRI_SWI_BFC_50mm_HM in 85.46 seconds (worker 2)!

"
